x_left,y_left,z_left,x_right,y_right,z_right,x_center,y_center,z_center,lon_center,lat_center
281.688252751839,24.8902260304288,-1.2147349359109,287.135847927779,10.9144002301737,1.2147349359109,284.334753693185,18.1006179665694,0.304347434177957,-86.2322939448166,39.7882829083228
287.941558073866,27.4266269962113,-1.2147349359109,293.768155510041,13.6045156409673,1.2147349359109,290.759449945813,20.7418996462486,0.299567028760108,-86.2322187411057,39.7883066656686
294.125518776675,30.1323632732035,-1.2147349359109,300.322721001784,16.4723967805248,1.2147349359109,297.116129270839,23.5404145754008,0.296840380611688,-86.2321443335609,39.7883318372689
300.236003561318,33.003791559043,-1.2147349359109,306.796227757621,19.514408382106,1.2147349359109,303.400524332673,26.4967832655244,0.296395734113159,-86.2320707721332,39.7883584287051
306.268861483573,36.0376026748982,-1.2147349359109,313.185313904307,22.7273552725497,1.2147349359109,309.606068149249,29.615372947722,0.296743905175442,-86.2319981336917,39.7883864792588
312.219848462995,39.230795500206,-1.2147349359109,319.486494677098,26.1084537580068,1.2147349359109,315.726919152479,32.8976152759961,0.297053456772902,-86.2319264866144,39.7884160018071
318.084512812355,42.5806195407627,-1.2147349359109,325.696041762435,29.6552713039803,1.2147349359109,321.758371679781,36.341937991514,0.297156243989921,-86.231855885983,39.7884469822082
323.858184287158,46.0845657756998,-1.2147349359109,331.809972222329,33.3657187904555,1.2147349359109,327.696205045767,39.945669841557,0.297127350287421,-86.2317863812024,39.7884793964351
329.535975947864,49.740371187149,-1.2147349359109,337.824050637551,37.2380586835289,1.2147349359109,333.536083069622,43.7063294614967,0.297051597027839,-86.2317180230293,39.7885132221689
335.112763042201,53.5460162208875,-1.2147349359109,343.733766399192,41.2709072144978,1.2147349359109,339.273305958428,47.621982195927,0.296970252704225,-86.2316508664768,39.7885484420081
340.583136566303,57.4997085714891,-1.2147349359109,349.534283405704,45.4632236086988,1.2147349359109,344.902766026471,51.6911618413917,0.296886844360621,-86.2315849713324,39.7885850427648
345.941345882128,61.5998583543709,-1.2147349359109,355.220377018959,49.814291708608,1.2147349359109,350.418948167967,55.9127257983873,0.296794509515766,-86.2315204021527,39.7886230141616
351.181211457964,65.8450259852013,-1.2147349359109,360.786337686174,54.3236740619181,1.2147349359109,355.816712359769,60.2847411999826,0.29690689350547,-86.2314572191038,39.7886623388132
356.313864831974,70.2457728267902,-1.2147349359109,366.210049125577,58.9734378234714,1.2147349359109,361.098300680999,64.7960194583487,0.299303572345281,-86.2313953959412,39.7887029160823
361.392418702899,74.7867160976752,-1.2147349359109,371.493324239344,63.6974551960724,1.2147349359109,366.276863765974,69.4243369069249,0.299715331568516,-86.2313347787313,39.7887445460754
366.381142829369,79.4181401697438,-1.2147349359109,376.692081168379,68.5238962506305,1.2147349359109,371.362695156004,74.154773795362,0.298683729164531,-86.2312752469841,39.7887870945949
371.274369981232,84.142052807717,-1.2147349359109,381.800455802697,73.4555418111776,1.2147349359109,376.356437853672,78.9825305384574,0.297839393526716,-86.2312167931729,39.7888305184702
376.066052389385,88.9602873200234,-1.2147349359109,386.812132739019,78.4950230080627,1.2147349359109,381.252916242951,83.9089663349256,0.29745814610371,-86.2311594778804,39.7888748299269
380.749889848378,93.874603036656,-1.2147349359109,391.7204678171,83.6449198044053,1.2147349359109,386.044765769913,88.9373149936593,0.297330083302174,-86.2311033873117,39.7889200580519
385.319271515152,98.8866039474729,-1.2147349359109,396.518415656723,88.9076676065444,1.2147349359109,390.724313652403,94.0704706139218,0.297247407568606,-86.2310486112799,39.7889662288765
389.767246091415,103.997666247401,-1.2147349359109,401.198485833758,94.2854698967766,1.2147349359109,395.283956909911,99.3105649455132,0.297119480941703,-86.2309952387811,39.789013361575
394.086738101766,109.209147416049,-1.2147349359109,405.752958151935,99.7805043672832,1.2147349359109,399.706408785331,104.667327640995,0.294767727689221,-86.2309434721638,39.789061543662
